"id"	"famille"	1808	"Noble"	"Citoyen"	"famille.12e.siecle"
"365"	"martino"	"0"	"1"	"0"	"0"
"366"	"massolo"	"0"	"1"	"1"	"0"
"367"	"mastelizii"	"0"	"1"	"0"	"0"
"368"	"matono"	"0"	"1"	"0"	"0"
"369"	"mazaman"	"0"	"1"	"0"	"0"
"370"	"mazzarino"	"0"	"1"	"0"	"0"
"371"	"de medici"	"0"	"1"	"0"	"0"
"372"	"meli lupi"	"0"	"1"	"0"	"0"
"373"	"denegato"	"0"	"1"	"0"	"0"
"374"	"mengano"	"0"	"1"	"0"	"0"
"375"	"mongolo"	"0"	"1"	"0"	"0"
"376"	"mommo"	"0"	"1"	"0"	"0"
"377"	"metadori"	"0"	"1"	"0"	"0"
"378"	"da mezzo"	"0"	"1"	"0"	"0"
"379"	"miani"	"1"	"1"	"1"	"0"
"380"	"michiel"	"1"	"1"	"0"	"1"
"381"	"milesio"	"0"	"1"	"0"	"0"
"382"	"minelli"	"1"	"1"	"0"	"0"
"383"	"minio"	"1"	"1"	"0"	"1"
"384"	"minotto"	"1"	"1"	"0"	"1"
"385"	"miolo"	"0"	"1"	"0"	"0"
"386"	"mocenigo"	"1"	"1"	"1"	"0"
"387"	"molo"	"0"	"1"	"0"	"0"
"388"	"molin"	"1"	"1"	"0"	"0"
"389"	"monegato"	"0"	"1"	"0"	"0"
"390"	"mora"	"1"	"1"	"0"	"0"
"391"	"morelli"	"1"	"1"	"0"	"0"
"392"	"moro"	"1"	"1"	"1"	"1"
"393"	"morosini"	"1"	"1"	"1"	"0"
"394"	"mortadelli"	"0"	"1"	"0"	"0"
"395"	"da mosto"	"0"	"1"	"0"	"0"
"396"	"muazzo"	"0"	"1"	"0"	"0"
"397"	"da muggia"	"0"	"1"	"0"	"0"
"398"	"mugici"	"0"	"1"	"0"	"0"
"399"	"muglia"	"0"	"1"	"0"	"0"
"400"	"da mula"	"0"	"1"	"0"	"0"
"401"	"mussè"	"0"	"1"	"0"	"0"
"402"	"nadal"	"0"	"1"	"0"	"0"
"403"	"nani"	"1"	"1"	"1"	"0"
"404"	"nosadini"	"1"	"1"	"0"	"0"
"405"	"navagiero"	"0"	"1"	"0"	"0"
"406"	"navaioso"	"0"	"1"	"0"	"0"
